Genus,Species,Count
Achromobacter,Xylosoxidans,14
Acinetobacter,Baumannii,40
Acinetobacter,Lwoffii,8
Acinetobacter,Pittii,8
Aeromonas,Hydrophila,36
Aeromonas,Veronii,4
Alcaligenes,Faecalis,12
Alkalihalobacillus,Clausii,22
Alkalihalobacillus,Halodurans,36
Alkalihalobacillus,Okuhidensis,12
Allofrancisella,Guangzhouensis,12
Bacillus,Alveayuensis,12
Bacillus,Aminovorans,24
Bacillus,Badius,21
Bacillus,Ectoiniformans,20
Bacillus,Gobiensis,12
Bacillus,Group,641
Bacillus,Infantis,12
Bacillus,Spp,12
Bacillus,Taeanensis,12
Bacillus,Zeae,12
Bacteroides,Fragilis,4
Bartonella,Arupensis,12
Bartonella,Bacilliformis,12
Bartonella,Grahamii,12
Bartonella,Henselae,36
Bartonella,Quintana,12
Brevibacillus,Parabrevis,8
Brevibacillus,Porteri,16
Brevibacillus,Sp,40
Brucella,Abortus,145
Brucella,Canis,48
Brucella,Ceti,60
Brucella,Inopinata,6
Brucella,Intermedia,12
Brucella,Melitensis,122
Brucella,Microtii,12
Brucella,Neotomae,42
Brucella,Ovis,45
Brucella,Pinnipedalis,54
Brucella,Sp,102
Brucella,Suis,96
Brucella,Vulpis,12
Burkholderia,Ambifaria,16
Burkholderia,Anthina,11
Burkholderia,Arboris,16
Burkholderia,Cenocepacia,42
Burkholderia,Cepacia,29
Burkholderia,Contaminans,235
Burkholderia,Diffusa,24
Burkholderia,Dolosa,12
Burkholderia,Gladioli,12
Burkholderia,Glumae,6
Burkholderia,Lata,28
Burkholderia,Latens,12
Burkholderia,Mallei,163
Burkholderia,Metallica,16
Burkholderia,Multivorans,20
Burkholderia,Oklahomensis,18
Burkholderia,Plantarii,6
Burkholderia,Pseudomallei,67
Burkholderia,Pseudomultivorans,33
Burkholderia,Puraquae,112
Burkholderia,Pyrrocinia,20
Burkholderia,Seminalis,6
Burkholderia,Stabilis,27
Burkholderia,Stagnalis,23
Burkholderia,Territorii,23
Burkholderia,Thailandensis,71
Burkholderia,Ubonensis,15
Burkholderia,Vietnamiensis,14
Caballeronia,Glathei,12
Campylobacter,Jejuni,10
Citrobacter,Amalonaticus,26
Citrobacter,Freundii,26
Citrobacter,Koseri,18
Corynebacterium,Amycolatum,14
Corynebacterium,Diphtheriae,12
Corynebacterium,Pseudotuberculosis,4
Corynebacterium,Ulcerans,4
Cronobacter,Sakazakii,2
Cutibacterium,Acnes,4
Cytobacillus,Firmus,22
Cytobacillus,Horneckiae,26
Edwardsiella,Tarda,2
Enterobacter,Cloacae,34
Enterobacter,Hormaechei,12
Enterococcus,Casseliflavus,3
Enterococcus,Durans,3
Enterococcus,Faecalis,30
Enterococcus,Faecium,333
